count,page_title
1,1987 Suicide of Tamil Tigers
2,A. P. Younger
3,Adam Czerniaków
4,Adan Torres
5,Adrian Karsten
6,Advocacy of suicide
7,Ai Xia
8,Akechi Mitsuyoshi
9,Al Mulock
10,Alan Davies (footballer)
11,Alan Pennington
12,Albert J. Adams
13,Albert Russel Erskine
14,Alex Jordan
15,Alexander Chervyakov
16,Ali-Reza Pahlavi
17,Altruistic suicide
18,Anat Elimelech
19,Andrea Feldman
20,Andreas Biermann
21,Angel Kanchev
22,Anthony Holland (actor)
23,Antonio Pettigrew
24,Arno Assmann
25,Asher Weisgan
26,Assessment of suicide risk
27,Assisted suicide
28,Babak Ghorbani
29,Barry Brown (actor)
30,Bartley Crum
31,Bernard Loiseau
32,Berry Sarbadhikari
33,Bill Gannon (baseball)
34,Bradford Thomas Wagner
35,Bruce Sarver
36,Buell Quain
37,Charcoal-burning suicide
38,Charles Stuart (murderer)
39,Cheng Dechen
40,Chester S. Barnard
41,Chick Stahl
42,Chris Benoit double-murder and suicide
43,Christian views on suicide
44,Christine Pascal
45,Christophe Dupouey
46,Chung Mong-hun
47,Cibele Dorsa
48,Cindy Yang
49,Claudio Camaso
50,Costic_ _tef_nescu
51,Dan Burros
52,Dan Mahoney (baseball)
53,Daniel V. Jones
54,Daul Kim
55,David Guttman
56,David J. Dwork
57,David Oliver Relin
58,Death of Adolf Hitler
59,Death of Merit
60,Deaths of philosophers
61,Decentius
62,Delphine Delamare
63,Dennis Crosby
64,Donnie Moore
65,Dorothy Hale
66,Douglas McPhail
67,Dudu Topaz
68,Duo Crommelynck
69,Du_an Pa_ek
70,Dávid Daróczi
71,Edward J. Brundage
72,Elena Ivashchenko
73,Eric Miller (businessman)
74,Erik Brødreskift
75,Erminio Criscione
76,Eugène Balme
77,Eustace Budgell
78,Evan McCaskey
79,Eve Miller
80,Ev_en Plocek
81,Fakhra Younus
82,Farmers' suicide in Western Odisha
83,Farmers' suicides in India
84,Female suicide bomber
85,Filip Kapisoda
86,Forced suicide
87,Foxconn suicides
88,Fraley Rogers
89,Frank Graham (voice actor)
90,Franz Böhme
91,Franz Schädle
92,François Vatel
93,Fred Anderson (baseball)
94,Fred Ball (footballer)
95,Gabrielle Wittkop
96,Gender differences in suicide
97,George Francis (trainer)
98,George Herring
99,George Weinberg (mobster)
100,Gloomy Sunday
101,Gordon McMaster
102,Greg Wilton
103,Guantanamo Bay detention camp suicide attempts
104,Gunter Sachs
105,Gus Meins
106,Géza Teleki
107,Hailu Yimenu
108,Hans Krebs (Wehrmacht general)
109,Harry Bailey
110,Harry Woods (Illinois politician)
111,Helena Belmonte
112,Herb Baumeister
113,History of suicide
114,Honor suicide
115,How the New Museum Committed Suicide with Banality
116,Huan Yi
117,Hugo Jury
118,Humberto Fierro
119,Håkan Serner
120,Ian Weatherburn
121,Ichiro Nakagawa
122,Internet suicide pact
123,Ion Butmalai
124,Iosif Adamovich
125,Isaac Fletcher (MP)
126,Ivan Pravilov
127,Jay Stewart
128,Jeff Weise
129,Jeong Da-bin
130,Jewish views on suicide
131,Jiang Zhonghua
132,Jim Ellison
133,Joel Rundell
134,Joerg Kalt
135,Johan Robeck
136,John A. Elston
137,John B. Connally Unit
138,John Berg (actor)
139,John David Roy Atchison
140,John J. Kennedy (New York State Treasurer)
141,John Kivela
142,John Ryerson (tennis)
143,Jon Lee (drummer)
144,Josef Bachmann
145,Joseph Newton Chandler III
146,Julien Rassam
147,Junshi
148,Justin Pierce
149,János Pap
150,Karl Steubl
151,Kazumi Kawai
152,Kevin Whitrick
153,Kevin Wilkinson
154,Kim Yu-ri
155,Kristin Brooks Rossell
156,Kunihiko Hashida
157,K_kichi Tsuburaya
158,LGBT Mormon suicides
159,Lazarus Salii
160,Le Suicidé
161,Lee Eun-ju
162,Lee Kyung-hwan
163,Leona Hutton
164,Leonard Adamov
165,Leopoldo Lugones
166,Lew Moren
167,List of LGBT-related suicides
168,List of Palestinian suicide attacks
169,List of countries by suicide rate
170,List of people whose parent committed suicide
171,List of suicide crisis lines
172,List of suicide sites
173,List of suicides
174,List of suicides in Nazi Germany
175,List of suicides in fiction
176,List of suicides in the 21st century
177,List of suicides that have been attributed to bullying
178,Liviu Cornel Babe_
179,Lore Berger
180,Lorrie Wilmot
181,Louis Lingg
182,Low Pop Suicide
183,Lucian B_lan
184,Lucy Gordon (actress)
185,Lusai
186,Lyle Bigbee
187,Ma Faxiang
188,Manuel Pardiñas
189,Marek _pilár
190,Maria Bard
191,Markus Hoffmann
192,Martin Fri_
193,Masato Furuoya
194,Mass suicide
195,Mass suicide in Demmin
196,Mass suicides in 1945 Nazi Germany
197,Matza restaurant suicide bombing
198,May Week
199,Mayoori (actress)
200,Melvin Turpin
201,Metod Trobec
202,Michael Buonauro
203,Michael D. Harter
204,Mikhail Sushkov
205,Miklós Nagy
206,Mita Noor
207,Mitsuo Kagawa
208,Monal Naval
209,Moshe Barazani
210,Motu Hafoka
211,Multiple gunshot suicide
212,M_lina Olinescu
213,Naevius Sutorius Macro
214,Najai Turpin
215,Neil Coulbeck
216,Nick Santino
217,Panas Lyubchenko
218,Park Yong-ha
219,Paul Chung
220,Peter Jaks
221,Peter Pi__anek
222,Philip Loeb
223,Philip Markoff
224,Phùng Th_ Chính
225,Political suicide
226,Prince Kinashi no Karu
227,Princess Wanda
228,Prisoner suicide
229,Pál Rajner
230,Quintillus
231,R v Reed
232,Ralph Wilcox
233,Religious views on suicide
234,Rezs_ Seress
235,Robert George Clements
236,Robert Ley
237,Rock 'n' Roll Suicide
238,Rolf Günther
239,Rose Stradner
240,Rudolf Batz
241,Rudolf Swiderski
242,Ry_tar_ _tomo
243,Samson Cerfberr
244,Samuel Calley
245,Seasonal effects on suicide rates
246,Seppuku
247,Seán Fortune
248,Sid Gepford
249,Silvo Plut
250,Simone Mareuil
251,Sinedu Tadesse
252,Social media and suicide
253,Song Pingshun
254,Sparklehorse
255,Stanislav Melnyk
256,Steve Stonebreaker
257,Suicide
258,Suicide (disambiguation)
259,Suicide (novel)
260,Suicide Act 1961
261,Suicide Blonde
262,Suicide Cliff
263,Suicide Rock
264,Suicide Solution
265,Suicide among doctors
266,Suicide attack
267,Suicide bridge
268,Suicide by cop
269,Suicide by hanging
270,Suicide by pilot
271,Suicide crisis
272,Suicide in Australia
273,Suicide in Bangladesh
274,Suicide in Canada
275,Suicide in Greenland
276,Suicide in Iran
277,Suicide in Japan
278,Suicide in Lithuania
279,Suicide in Nepal
280,Suicide in Russia
281,Suicide in South Korea
282,Suicide in Spain
283,Suicide in Switzerland
284,Suicide in Ukraine
285,Suicide in antiquity
286,Suicide in literature
287,Suicide in the United Kingdom
288,Suicide in the United States
289,Suicide intervention
290,Suicide legislation
291,Suicide methods
292,Suicide note
293,Suicide of Aleksandr Dolmatov
294,Suicide of Amanda Todd
295,Suicide of Amina Filali
296,Suicide of Antonio Calvo
297,Suicide of Audrie Pott
298,Suicide of Dawn-Marie Wesley
299,Suicide of Harry Lew
300,Suicide of Holly Glynn
301,Suicide of Jadin Bell
302,Suicide of Jamey Rodemeyer
303,Suicide of Joe Gliniewicz
304,Suicide of Megan Meier
305,Suicide of Nicola Ann Raphael
306,Suicide of Phoebe Prince
307,Suicide of Rohith Vemula
308,Suicide of Ryan Halligan
309,Suicide of Taipei First Girls' High School students (1994)
310,Suicide of Tyler Clementi
311,Suicide of Tyrone Unsworth
312,Suicide of Vince Foster
313,Suicide of William Gibbs
314,Suicide pill
315,Suicide terminology
316,Suicide tourism
317,Suicides at the Golden Gate Bridge
318,Sunil Jayasinghe
319,Szmul Zygielbojm
320,Sándor Csizmadia
321,Taira no Norimori
322,Tamás Eszes (politician)
323,Terry Larkin
324,Terry Long (American football)
325,The Last Time I Committed Suicide
326,Thierry Magon de La Villehuchet
327,Thomas Cook (cricketer and footballer)
328,Tiziana Cantone
329,Tom Nicon
330,Tor Ulven
331,Tore Hedin
332,Tore Tønne
333,Torquato Neto
334,Toshikatsu Matsuoka
335,Tr_n V_n Hai
336,Tsuruhime
337,U;Nee
338,Uesugi Kagetora
339,Uri Ilan
340,Vasyl Makukh
341,Victor Weisz
342,Vishvajit Malla
343,Viveka Babajee
344,Vjekoslav Karas
345,Vlado Taneski
346,Volker Eckert
347,Vyacheslav Solodukhin
348,Vytautas _apranauskas
349,Walmor Chagas
350,Walter Krüger (SS general)
351,Walter Schimana
352,Walther Bierkamp
353,Wan Xiaotang
354,Wattie Holm
355,Web 2.0 Suicide Machine
356,Wei Heng
357,Whitaker Wright
358,Wilhelm Burgdorf
359,Willi Becker
360,William Dennison Clark
361,William H. Frankhauser
362,William H. Stead
363,Wolfgang Fürstner
364,Wristcutters: A Love Story
365,Yevgeni Babich
366,Yiannis Koskiniatis
367,Yoon Ki-won
368,Yutaka Taniyama
369,Zhou Xiaozhou
370,Zmicier Zhylunovich
371,Zoltán Rónai
372,Zsigmond Kunfi
373,Ödön Beniczky
374,2014 Edmonton killings
375,2015 Sejong and Hwaseong shootings
376,2017 Sehwan suicide bombing
377,475 (film)
378,Abbas Nalbandian
379,Abdul Basir (torture victim)
380,Adolf Eichler
381,Alberts Tarulis
382,Albin Csáky
383,Alexandros Koryzis
384,Alfred R. Lea
385,Alok Nembang
386,Alphonse Pénaud
387,Alwin-Broder Albrecht
388,Amago Katsuhisa
389,Anal Cunt
390,Anders Göthberg
391,Andre Waters
392,Andreas Miaoulis (born 1819)
393,Andromachus (cavalry general)
394,Anil Ramdas
395,Anita (1967 film)
396,Anthony Muirhead
397,Apicata
398,Arnold Piesse
399,Arthur Kobus
400,Arthur Povey
401,Arturo Borja
402,Asahi no kata
403,Ashihei Hino
404,Attik
405,Bantcho Bantchevsky
406,Barea Soranus
407,Barton H. Watson
408,Battle of Beijing (1644)
409,Battle of Tenmokuzan
410,Ben Lackland
411,Benevolent suicide
412,Benjamin Chee Chee
413,Benny Frey
414,Bert Bertrand
415,Bharat Raj Upreti
416,Bill Morris (Australian rules footballer)
417,Bill Robinzine
418,Bill Zeller
419,Bob Lynch (musician)
420,Bonifacio Ondó Edu
421,Breece D'J Pancake
422,Buron Fitts
423,Börje Fredriksson
424,Carl Großmann
425,Carole Landis
426,Cecil Patteson Nickalls
427,Charles A. Binder
428,Charles Ashton (historian)
429,Charles Crumb
430,Charles D. Millard
431,"Charles Joseph, comte Bresson"
432,Charlie Dexter
433,Charlotte Schellhorn
434,Chen Lin (singer)
435,Chen Mengjia
436,Chikahiko Koizumi
437,Cho Sung-min
438,Choi Jin-sil
439,Chungjeongno Station
440,Clendenin J. Ryan
441,Clifford Roberts
442,Cornelius Sabinus
443,Csilla Molnár
444,Damien Marchesseault
445,Dan McGann
446,Dan White
447,Daniel E. Kelley
448,Daniele Nadone
449,Darcy Clay
450,De'Angelo Wilson
451,Death of Cleopatra
452,Death of Kaja Ballo
453,Death of Leelah Alcorn
454,Deng Tuo
455,Dick Wesson (announcer)
456,Dimitris Christoulas
457,Dong Xian
458,Doon Arbus
459,Drummond Brown
460,Eduard Kosolapov
461,Edward C. Krause
462,Edward Kern (police officer)
463,Edward Wasilewski
464,Einar Høigård
465,El Cerrito Plaza station
466,Elaine Parent
467,Eleanor Marx
468,Elizabeth Hartman
469,Elmer Leifer
470,Emanuel Moravec
471,Emil Haussmann
472,Emil Heinrich Meyer
473,Ena Twigg
474,End_ Motonobu
475,Erik Pauelsen
476,Ernie Hickman
477,Ernst Ludwig Kirchner
478,Ernst Schröder (actor)
479,Ernst Toller
480,Eugene O'Neill Jr.
481,Eva May
482,Evelyn Hoey
483,Eylül Cansın
484,Felix Powell
485,Ferenc Bartha
486,Frances Ford Seymour
487,Francesco Gaeta
488,Frank Bonner (baseball)
489,Frank Churchill
490,Frank Ringo
491,Fred Bratschi
492,Fred Guy
493,Friedrich-Wilhelm von Chappuis
494,Fritz Freitag
495,Fusu
496,Gabriel Hernández (boxer)
497,Gaius Julius Vindex
498,Gaius Norbanus
499,Gary Dighton
500,Gelin
501,George Black (New Zealand politician)
502,George Campbell (Royal Navy officer)
503,George Caragonne
504,George Cochrane (footballer)
505,George Hubble
506,Gerwald Claus-Brunner
507,Gildo
508,Giuseppe Pellizza da Volpedo
509,György Kézdy
510,Günther von Kluge
511,Halima Rafiq
512,Hans Jeschonnek
513,Hans van Tongeren
514,Hansom Books
515,Harry Roberts (cricketer)
516,Heimrad Prem
517,Heinrich Burchard
518,Henry English Read
519,Heorhiy Kirpa
520,Herman Bing
521,Hermann Geyer
522,Hermann Leuchs
523,Horatio Boileau Goad
524,Hyman Amberg
525,Ian Weatherburn
526,Idewu Ojulari
527,Ihaia Tainui
528,Ike Van Zandt
529,Ilpo Larha
